Dates,yesterday price,dates +1,today's price
Nov-09-2021,2978.37,Nov-10-2021,2917.87
Nov-10-2021,2917.87,Nov-11-2021,2915.33
Nov-11-2021,2915.33,Nov-12-2021,2973.56
Nov-12-2021,2973.56,Nov-15-2021,2969.04
Nov-15-2021,2969.04,Nov-16-2021,2957.52
Nov-16-2021,2957.52,Nov-17-2021,2960.94
Nov-17-2021,2960.94,Nov-18-2021,2996.77
Nov-18-2021,2996.77,Nov-19-2021,2978.53
Nov-19-2021,2978.53,Nov-22-2021,2926.04
Nov-22-2021,2926.04,Nov-23-2021,2915.64
Nov-23-2021,2915.64,Nov-24-2021,2922.40
Nov-24-2021,2922.40,Nov-26-2021,2843.66
Nov-26-2021,2843.66,Nov-29-2021,2910.61
Nov-29-2021,2910.61,Nov-30-2021,2837.95
Nov-30-2021,2837.95,Dec-01-2021,2821.03
Dec-01-2021,2821.03,Dec-02-2021,2859.32
Dec-02-2021,2859.32,Dec-03-2021,2840.03
Dec-03-2021,2840.03,Dec-06-2021,2863.10
Dec-06-2021,2863.10,Dec-07-2021,2945.39
Dec-07-2021,2945.39,Dec-08-2021,2963.73
Dec-08-2021,2963.73,Dec-09-2021,2952.77
Dec-09-2021,2952.77,Dec-10-2021,2960.03
Dec-10-2021,2960.03,Dec-13-2021,2916.53
Dec-13-2021,2916.53,Dec-14-2021,2878.14
Dec-14-2021,2878.14,Dec-15-2021,2928.82
Dec-15-2021,2928.82,Dec-16-2021,2888.90
Dec-16-2021,2888.90,Dec-17-2021,2834.50
Dec-17-2021,2834.50,Dec-20-2021,2832.14
Dec-20-2021,2832.14,Dec-21-2021,2869.45
Dec-21-2021,2869.45,Dec-22-2021,2928.30
Dec-22-2021,2928.30,Dec-23-2021,2938.33
Dec-23-2021,2938.33,Dec-27-2021,2958.13
Dec-27-2021,2958.13,Dec-28-2021,2933.74
Dec-28-2021,2933.74,Dec-29-2021,2933.10
Dec-29-2021,2933.10,Dec-30-2021,2924.01
Dec-30-2021,2924.01,Dec-31-2021,2897.04
Dec-31-2021,2897.04,Jan-03-2022,2899.83
Jan-03-2022,2899.83,Jan-04-2022,2887.99
Jan-04-2022,2887.99,Jan-05-2022,2755.50
Jan-05-2022,2755.50,Jan-06-2022,2754.95
Jan-06-2022,2754.95,Jan-07-2022,2740.34
Jan-07-2022,2740.34,Jan-10-2022,2773.39
Jan-10-2022,2773.39,Jan-11-2022,2794.72
Jan-11-2022,2794.72,Jan-12-2022,2828.61
Jan-12-2022,2828.61,Jan-13-2022,2771.74
Jan-13-2022,2771.74,Jan-14-2022,2789.61
Jan-14-2022,2789.61,Jan-18-2022,2719.96
Jan-18-2022,2719.96,Jan-19-2022,2702.33
Jan-19-2022,2702.33,Jan-20-2022,2666.15
Jan-20-2022,2666.15,Jan-21-2022,2607.03
Jan-21-2022,2607.03,Jan-24-2022,2616.08
Jan-24-2022,2616.08,Jan-25-2022,2538.70
Jan-25-2022,2538.70,Jan-26-2022,2584.66
Jan-26-2022,2584.66,Jan-27-2022,2580.10
Jan-27-2022,2580.10,Jan-28-2022,2667.02
Jan-28-2022,2667.02,Jan-31-2022,2706.07
Jan-31-2022,2706.07,Feb-01-2022,2752.88
Feb-01-2022,2752.88,Feb-02-2022,2960.00
Feb-02-2022,2960.00,Feb-03-2022,2861.80
Feb-03-2022,2861.80,Feb-04-2022,2865.86
Feb-04-2022,2865.86,Feb-07-2022,2784.02
Feb-07-2022,2784.02,Feb-08-2022,2787.98
Feb-08-2022,2787.98,Feb-09-2022,2831.84
Feb-09-2022,2831.84,Feb-10-2022,2772.40
Feb-10-2022,2772.40,Feb-11-2022,2685.65
Feb-11-2022,2685.65,Feb-14-2022,2710.52
Feb-14-2022,2710.52,Feb-15-2022,2732.17
Feb-15-2022,2732.17,Feb-16-2022,2754.76
Feb-16-2022,2754.76,Feb-17-2022,2650.78
,,,
,,,
